,title,address_code,beds,baths,year_built,tenure,property_type,mrt_distance,sqft,price
0,HDB Flat for Sale in 110A Depot Road,['(D4)'],3,3,,99,HDB,,990,"730,000"
1,HDB Flat for Sale in 208B Clementi Avenue 6,['(D5)'],2,2,,,HDB 3 Rooms,['(906 m)'],731,"610,000"
2,HDB Flat for Sale in 560 Hougang Street 51,['(D19)'],4,2,1999,99,HDB,['(438 m)'],"1,539","768,000"
3,HDB Flat for Sale in 322C Anchorvale Drive,['(D19)'],3,2,2002,99,HDB,['(369 m)'],"1,184","558,888"
4,HDB Flat for Sale in 225 Ang Mo Kio Avenue 1,['(D20)'],2,2,1978,,HDB 3 Rooms,,882,"375,000"
5,3 Bed Condo for Sale in Apleton View,['(D11)'],3,3,2005,Freehold,Condo,['(271 m)'],"1,853","3,300,000"
6,4 Bed Condo for Sale in Marina One Residences,['(D1)'],4,5,2018,99,Condo,['(160 m)'],"2,250","7,500,000"
7,2 Bed Condo for Sale in Optima @ Tanah Merah,['(D16)'],2,2,2012,99,Apartment,['(102 m)'],915,"1,250,000"
8,1 Bed Condo for Sale in The Quinn,['(D19)'],1,1,2016,Freehold,Condo,['(794 m)'],560,"899,000"
9,4 Bed Condo for Sale in Marina One Residences,['(D1)'],4,4,2018,99,Condo,['(160 m)'],"2,045","5,500,000"
10,4 Bed Condo for Sale in Wallich Residence,['(D2)'],4,4,2016,99,Condo,['(75 m)'],"1,658","6,038,000"
11,4 Bed Condo for Sale in TRE Residences,['(D14)'],4,3,2018,99,Condo,['(223 m)'],947,"1,600,000"
12,1 Bed Condo for Sale in Marina One Residences,['(D1)'],1,1,2018,99,Condo,['(160 m)'],710,"1,750,000"
13,1 Bed Condo for Sale in Marina One Residences,['(D1)'],1,1,2018,99,Condo,['(160 m)'],710,"1,680,000"
14,2 Bed Condo for Sale in Guillemard Suites,['(D14)'],2,3,2017,Freehold,Condo,['(513 m)'],808,"1,200,000"
15,2 Bed Condo for Sale in The Topiary,['(D28)'],2,2,2016,99,Condo,['(939 m)'],753,"786,000"
16,2 Bed Condo for Sale in My Manhattan,['(D18)'],2,2,2014,99,Condo,['(179 m)'],861,"1,250,000"
17,2 Bed Condo for Sale in 8 St Thomas,['(D9)'],2,2,2018,Freehold,Condo,['(505 m)'],"1,044","2,851,000"
18,2 Bed Condo for Sale in Riversails,['(D19)'],2,2,2017,99,Condo,['(818 m)'],947,"1,100,000"
19,1 Bed Condo for Sale in The Brooks I & II,['(D26)'],1,1,2016,Freehold,Apartment,,571,"794,000"
20,2 Bed Condo for Sale in Sophia Hills,['(D9)'],2,2,2018,99,Condo,['(306 m)'],710,"1,590,000"
